,municipio,mes,dia,max_temp,avg_temp,min_temp,max_rocio,avg_rocio,min_rocio,max_humedad,avg_humedad,min_humedad,max_viento,avg_viento,min_viento,max_presion,avg_presion,min_presion,lluvia
29,aranjuez,Apr,30,66,55.2,43,46,42.1,36,93,65.0,37,18,7.5,0,27.9,27.8,27.8,0.00
0,aranjuez,May,1,61,53.0,46,46,36.0,25,72,54.4,27,23,14.0,6,27.8,27.8,27.7,0.00
1,aranjuez,May,2,63,51.4,37,37,34.3,30,87,54.0,34,16,9.0,0,27.9,27.9,27.8,0.00
2,aranjuez,May,3,66,54.5,37,43,37.8,34,93,57.0,32,13,6.3,0,28.0,28.0,27.9,0.00
3,aranjuez,May,4,75,61.9,46,46,43.2,37,82,53.8,25,22,9.2,0,28.0,27.9,27.9,0.00
4,aranjuez,May,5,68,63.5,57,55,50.0,45,88,62.4,46,21,11.4,3,27.9,27.9,27.8,0.00
5,aranjuez,May,6,72,58.7,48,55,47.2,37,100,70.8,29,12,4.6,0,27.9,27.8,27.8,0.00
6,aranjuez,May,7,73,58.5,43,45,39.8,37,81,53.5,31,15,4.8,0,28.1,28.0,27.9,0.00
7,aranjuez,May,8,77,62.0,46,41,37.4,28,76,44.5,19,14,3.9,0,28.1,28.1,28.0,0.00
8,aranjuez,May,9,82,64.6,46,46,41.4,34,81,47.9,20,7,3.3,0,28.0,28.0,27.9,0.00
9,aranjuez,May,10,84,68.7,52,48,44.3,39,77,45.4,21,7,2.9,0,27.9,27.9,27.8,0.00
10,aranjuez,May,11,84,69.9,52,48,43.5,39,76,41.7,22,13,6.0,0,27.9,27.9,27.8,0.00
11,aranjuez,May,12,84,69.7,54,50,46.5,45,77,46.7,26,10,3.7,0,27.9,27.9,27.8,0.00
12,aranjuez,May,13,82,69.7,54,54,47.8,45,77,48.6,28,22,8.1,0,27.9,27.8,27.6,0.00
13,aranjuez,May,14,68,60.9,52,52,40.8,34,77,49.2,30,20,10.6,2,27.7,27.7,27.6,0.00
14,aranjuez,May,15,66,57.8,48,43,34.9,27,76,45.1,26,15,6.8,0,27.7,27.7,27.7,0.00
15,aranjuez,May,16,66,58.0,52,39,35.9,32,58,44.4,32,18,10.6,3,27.7,27.7,27.7,0.00
16,aranjuez,May,17,70,60.8,54,48,43.3,37,82,54.6,33,15,8.6,6,27.8,27.7,27.7,0.00
17,aranjuez,May,18,73,60.8,45,45,39.1,30,87,49.0,22,12,5.4,0,27.8,27.8,27.7,0.00
18,aranjuez,May,19,73,60.2,48,48,41.6,34,82,53.6,27,20,5.8,0,27.8,27.7,27.7,0.00
19,aranjuez,May,20,72,57.9,41,45,41.0,37,87,57.5,31,14,4.6,0,27.8,27.8,27.8,0.00
20,aranjuez,May,21,68,59.5,52,48,45.2,41,82,60.6,37,18,6.5,0,27.9,27.9,27.8,0.00
21,aranjuez,May,22,73,59.8,46,46,41.8,37,87,55.8,29,14,5.3,0,28.0,27.9,27.9,0.00
22,aranjuez,May,23,77,63.2,46,45,37.7,32,76,43.2,21,8,3.2,0,28.0,27.9,27.8,0.00
23,aranjuez,May,24,82,68.0,52,48,41.7,36,71,42.9,19,9,4.4,0,27.9,27.9,27.8,0.00
24,aranjuez,May,25,86,70.7,52,48,36.1,23,67,34.7,10,21,7.2,0,27.9,27.9,27.9,0.00
25,aranjuez,May,26,86,70.4,50,48,40.1,32,66,36.0,20,18,6.7,0,28.0,27.9,27.9,0.00
26,aranjuez,May,27,88,73.0,54,52,45.9,37,77,42.5,18,12,4.3,0,27.9,27.9,27.9,0.00
27,aranjuez,May,28,88,74.0,59,55,49.7,45,72,45.2,22,9,3.3,0,28.0,28.0,27.9,0.00
28,aranjuez,May,29,93,77.8,57,54,47.4,45,67,37.4,20,9,3.1,0,28.0,27.9,27.8,0.00
29,aranjuez,May,30,95,79.1,61,57,49.2,45,63,37.8,19,16,4.8,0,27.9,27.8,27.7,0.00
30,aranjuez,May,31,86,71.9,57,55,39.0,28,57,33.8,14,10,7.4,5,27.9,27.8,27.8,0.00
0,aranjuez,Jun,1,81,66.8,52,48,40.7,37,58,40.7,23,14,7.9,3,27.9,27.9,27.8,0.00
1,aranjuez,Jun,2,82,68.3,54,43,38.8,30,67,37.9,16,13,5.5,0,28.0,27.9,27.9,0.00
2,aranjuez,Jun,3,86,71.7,55,55,46.5,43,67,42.9,23,20,5.8,0,27.9,27.9,27.8,0.00
3,aranjuez,Jun,4,90,75.3,59,55,49.7,43,77,45.6,21,13,4.2,0,27.9,27.9,27.8,0.00
4,aranjuez,Jun,5,93,79.3,61,50,45.8,41,59,33.3,16,12,5.4,1,27.9,27.9,27.8,0.00
5,aranjuez,Jun,6,97,80.3,63,59,48.6,43,59,36.0,16,25,5.7,0,27.9,27.9,27.8,0.00
6,aranjuez,Jun,7,97,80.8,66,57,50.2,41,68,38.5,19,22,6.4,0,27.9,27.9,27.8,0.00
7,aranjuez,Jun,8,79,69.2,63,61,55.6,48,94,64.3,36,17,7.1,0,27.8,27.8,27.7,0.00
8,aranjuez,Jun,9,77,66.4,59,61,57.8,55,94,76.1,47,10,3.7,0,27.8,27.8,27.7,0.00
9,aranjuez,Jun,10,68,61.7,55,59,54.7,52,100,78.6,60,8,4.6,0,27.9,27.8,27.8,0.00
10,aranjuez,Jun,11,79,65.7,52,54,45.6,43,77,51.1,29,10,5.4,0,27.9,27.9,27.8,0.00
11,aranjuez,Jun,12,77,66.9,55,50,45.6,39,72,48.5,31,15,6.8,2,28.0,27.9,27.9,0.00
12,aranjuez,Jun,13,84,69.4,52,52,44.0,39,71,43.4,22,14,7.5,0,28.0,28.0,27.9,0.00
13,aranjuez,Jun,14,90,74.7,55,50,42.4,34,77,36.9,14,21,9.9,0,27.9,27.9,27.8,0.00
14,aranjuez,Jun,15,86,75.5,64,55,43.6,30,60,35.8,15,14,7.7,1,27.8,27.8,27.8,0.00
15,aranjuez,Jun,16,88,73.3,54,45,38.7,32,58,31.0,17,15,6.8,1,27.9,27.8,27.8,0.00
16,aranjuez,Jun,17,90,76.1,59,52,44.9,37,63,35.9,17,16,8.4,0,27.8,27.8,27.7,0.00
17,aranjuez,Jun,18,82,71.2,59,55,50.3,41,88,50.1,24,20,7.4,0,27.9,27.8,27.8,0.00
18,aranjuez,Jun,19,79,66.3,57,55,50.3,41,94,61.9,28,25,5.3,0,27.9,27.9,27.8,0.00
19,aranjuez,Jun,20,70,62.0,55,55,51.0,46,94,68.1,46,20,6.5,1,28.0,27.9,27.9,0.00
20,aranjuez,Jun,21,84,69.1,54,54,48.7,45,94,53.6,25,8,2.9,0,28.1,28.0,28.0,0.00
21,aranjuez,Jun,22,91,74.0,57,52,47.1,43,72,42.3,18,16,5.9,0,28.1,28.0,28.0,0.00
22,aranjuez,Jun,23,88,76.3,63,55,52.5,48,64,44.5,31,14,5.9,0,28.0,27.9,27.9,0.00
23,aranjuez,Jun,24,91,77.4,61,57,53.8,48,77,46.7,27,8,4.9,1,27.9,27.8,27.7,0.00
24,aranjuez,Jun,25,97,80.9,64,61,54.5,48,68,42.5,20,18,4.7,0,27.8,27.7,27.6,0.00
25,aranjuez,Jun,26,90,78.1,70,63,58.2,54,73,51.4,33,22,5.4,0,27.8,27.8,27.7,0.00
26,aranjuez,Jun,27,97,81.2,68,55,52.6,46,64,40.1,18,17,6.6,0,27.8,27.8,27.7,0.00
27,aranjuez,Jun,28,84,74.5,64,61,52.2,46,64,46.5,32,17,7.4,0,27.9,27.9,27.8,0.00
28,aranjuez,Jun,29,77,68.5,63,59,57.1,54,88,68.8,50,20,12.4,5,27.9,27.9,27.8,0.00
29,aranjuez,Jun,30,81,72.2,64,59,54.6,48,83,56.3,37,12,6.5,1,27.9,27.9,27.9,0.00
0,aranjuez,Jul,1,88,74.7,61,55,50.5,43,77,47.0,21,15,6.6,0,28.0,28.0,27.9,0.00
1,aranjuez,Jul,2,90,75.4,59,52,49.2,43,72,42.9,24,14,6.3,0,28.1,28.0,27.9,0.00
2,aranjuez,Jul,3,93,78.6,61,46,42.6,34,52,30.2,14,7,3.2,0,28.0,27.9,27.8,0.00
3,aranjuez,Jul,4,100,83.4,64,48,45.4,43,56,29.8,15,8,2.3,0,27.9,27.9,27.8,0.00
4,aranjuez,Jul,5,102,86.2,70,55,49.9,45,57,31.2,15,17,5.5,0,27.9,27.8,27.7,0.00
5,aranjuez,Jul,6,95,82.9,72,59,52.8,45,60,37.6,19,20,7.5,0,27.8,27.7,27.7,0.00
6,aranjuez,Jul,7,90,76.3,63,59,49.1,37,73,45.0,17,14,6.7,0,27.8,27.8,27.8,0.00
7,aranjuez,Jul,8,93,78.6,61,54,41.7,36,55,30.3,13,13,6.0,0,27.9,27.9,27.8,0.00
8,aranjuez,Jul,9,91,80.3,63,52,43.3,39,52,28.5,16,17,7.3,0,27.9,27.9,27.8,0.00
9,aranjuez,Jul,10,95,82.8,68,57,52.7,45,60,36.8,25,14,6.4,0,28.0,28.0,27.9,0.00
10,aranjuez,Jul,11,99,85.5,70,57,54.0,48,60,36.3,18,20,8.6,0,28.0,27.9,27.9,0.00
11,aranjuez,Jul,12,93,81.8,66,50,45.2,37,56,30.0,14,10,4.2,0,27.9,27.9,27.8,0.00
12,aranjuez,Jul,13,95,80.1,63,61,47.7,34,63,37.1,12,17,7.7,0,27.8,27.8,27.7,0.00
13,aranjuez,Jul,14,93,80.8,64,43,32.3,19,37,19.1,8,18,10.6,0,27.9,27.8,27.8,0.00
14,aranjuez,Jul,15,90,79.9,66,61,50.0,34,57,36.5,17,24,13.2,0,27.9,27.9,27.8,0.00
15,aranjuez,Jul,16,91,78.8,63,52,40.8,19,59,31.6,8,12,4.8,0,28.0,27.9,27.9,0.00
16,aranjuez,Jul,17,99,80.5,61,57,41.9,28,50,28.9,13,9,4.6,1,28.0,27.9,27.9,0.00
17,aranjuez,Jul,18,97,83.7,68,61,45.6,37,51,29.0,14,14,5.5,0,28.0,28.0,27.9,0.00
18,aranjuez,Jul,19,102,86.3,66,46,42.4,32,49,24.6,9,18,6.5,0,28.0,28.0,27.9,0.00
19,aranjuez,Jul,20,99,84.0,64,54,44.7,37,43,26.4,16,21,9.3,0,27.9,27.8,27.7,0.00
20,aranjuez,Jul,21,91,80.7,68,55,44.6,30,56,31.8,12,15,6.8,0,27.9,27.9,27.8,0.00
21,aranjuez,Jul,22,99,80.2,61,46,33.4,9,52,24.9,4,10,3.9,0,28.1,28.0,27.9,0.00
22,aranjuez,Jul,23,102,86.3,68,55,45.4,37,49,26.8,12,8,3.6,0,28.1,28.0,28.0,0.00
23,aranjuez,Jul,24,106,90.5,73,54,48.3,45,47,25.7,13,9,4.3,0,28.0,27.9,27.8,0.00
24,aranjuez,Jul,25,106,91.2,75,54,47.1,41,44,24.1,12,12,4.7,0,27.9,27.8,27.7,0.00
25,aranjuez,Jul,26,100,88.4,73,63,55.7,48,57,35.0,18,7,3.4,0,27.8,27.8,27.7,0.00
26,aranjuez,Jul,27,102,89.2,73,59,54.5,48,61,33.8,16,15,4.8,0,27.8,27.8,27.8,0.00
27,aranjuez,Jul,28,104,90.3,75,54,50.3,45,44,26.9,14,14,7.1,1,27.9,27.9,27.8,0.00
28,aranjuez,Jul,29,99,86.5,73,61,53.9,48,51,33.7,20,33,4.7,0,28.0,28.0,27.9,0.00
29,aranjuez,Jul,30,104,87.9,73,59,51.9,45,53,32.7,15,17,7.4,0,27.9,27.9,27.8,0.00
30,aranjuez,Jul,31,100,88.0,70,52,48.2,41,49,27.6,13,20,7.3,0,27.9,27.9,27.8,0.00
0,aranjuez,Aug,1,102,87.0,66,46,42.1,32,46,23.6,9,15,5.8,0,27.9,27.9,27.8,0.00
1,aranjuez,Aug,2,95,84.7,70,57,49.9,41,44,30.5,18,13,5.2,0,27.9,27.8,27.8,0.00
2,aranjuez,Aug,3,99,84.5,68,57,52.3,48,64,36.8,18,9,4.3,0,27.9,27.9,27.8,0.00
3,aranjuez,Aug,4,102,87.4,70,57,48.3,43,43,27.4,15,10,3.9,0,27.9,27.9,27.8,0.00
4,aranjuez,Aug,5,104,89.0,73,57,46.3,37,40,24.6,11,15,6.3,0,27.9,27.8,27.8,0.00
5,aranjuez,Aug,6,102,87.6,70,50,44.0,39,43,23.6,12,14,5.3,0,27.8,27.8,27.7,0.00
6,aranjuez,Aug,7,102,87.2,70,55,45.5,36,46,26.2,11,10,3.5,0,27.8,27.8,27.8,0.00
7,aranjuez,Aug,8,104,87.8,72,57,48.2,37,50,28.7,12,8,3.4,0,27.9,27.9,27.8,0.00
8,aranjuez,Aug,9,104,89.1,73,55,47.9,43,50,26.1,12,9,3.5,0,28.0,27.9,27.9,0.00
9,aranjuez,Aug,10,104,90.1,73,52,45.9,36,44,24.1,11,15,6.3,1,28.0,28.0,27.9,0.00
